# DATE Y - M - D    | DATE MJD          | Bull. A PM-x      | Bull. A PM-y      | Bull. A UT1-UTC   |
        8 4 2             54558.00           -0.061950            0.491630           -0.3621803     
        8 4 3             54559.00           -0.058930            0.493516           -0.3636382     
        8 4 4             54560.00           -0.056101            0.495378           -0.3652840     
        8 4 5             54561.00           -0.053580            0.497020           -0.3671218     
        8 4 6             54562.00           -0.050858            0.498706           -0.3690469     
        8 4 7             54563.00           -0.047908            0.500439           -0.3708056     
        8 4 8             54564.00           -0.045071            0.502411           -0.3722139     
        8 4 9             54565.00           -0.042942            0.504688           -0.3732801     
        8 410             54566.00           -0.041069            0.506835           -0.3740468     
        8 411             54567.00           -0.038881            0.508714           -0.3746300     
        8 412             54568.00           -0.036597            0.510332           -0.3751698     
        8 413             54569.00           -0.034167            0.511818           -0.3757768     
        8 414             54570.00           -0.031601            0.512926           -0.3765822     
        8 415             54571.00           -0.029031            0.513846           -0.3776511     
        8 416             54572.00           -0.026471            0.514560           -0.3789130     
        8 417             54573.00           -0.023630            0.515646           -0.3802552     
        8 418             54574.00           -0.020349            0.517386           -0.3816113     
        8 419             54575.00           -0.016951            0.519351           -0.3829355     
        8 420             54576.00           -0.013739            0.521582           -0.3841684     
        8 421             54577.00           -0.010926            0.523786           -0.3852365     
        8 422             54578.00           -0.008281            0.525785           -0.3861575     
        8 423             54579.00           -0.005669            0.527434           -0.3869292     
        8 424             54580.00           -0.003096            0.528400           -0.3875968     
        8 425             54581.00            0.000034            0.529139           -0.3882007     
        8 426             54582.00            0.003056            0.529881           -0.3887710     
        8 427             54583.00            0.006214            0.530710           -0.3893960     
        8 428             54584.00            0.009581            0.531745           -0.3902005     
        8 429             54585.00            0.012818            0.533243           -0.3912172     
        8 430             54586.00            0.015986            0.534608           -0.3925133     
        8 5 1             54587.00            0.018963            0.535995           -0.3940786     
        8 5 2             54588.00            0.021744            0.536978           -0.3957819     
        8 5 3             54589.00            0.024424            0.537701           -0.3976157     
        8 5 4             54590.00            0.027090            0.538268           -0.3994649     
        8 5 5             54591.00            0.030021            0.538539           -0.4011488     
        8 5 6             54592.00            0.033565            0.538784           -0.4025727     
        8 5 7             54593.00            0.036869            0.539241           -0.4036637     
        8 5 8             54594.00            0.039737            0.539984           -0.4045578     
        8 5 9             54595.00            0.042471            0.540648           -0.4054161     
        8 510             54596.00            0.044835            0.541415           -0.4063548     
        8 511             54597.00            0.047326            0.541837           -0.4074805     
        8 512             54598.00            0.050008            0.542234           -0.4088793     
        8 513             54599.00            0.052863            0.542585           -0.4104687     
        8 514             54600.00            0.056384            0.542609           -0.4121408     
        8 515             54601.00            0.060239            0.542635           -0.4138126     
        8 516             54602.00            0.064265            0.542708           -0.4154092     
        8 517             54603.00            0.067930            0.542634           -0.4168301     
        8 518             54604.00            0.071436            0.542675           -0.4180144     
        8 519             54605.00            0.074614            0.542701           -0.4190177     
        8 520             54606.00            0.077603            0.542665           -0.4198115     
        8 521             54607.00            0.080965            0.542345           -0.4203650     
        8 522             54608.00            0.084295            0.541900           -0.4207398     
        8 523             54609.00            0.088353            0.541635           -0.4210313     
        8 524             54610.00            0.092182            0.541437           -0.4213272     
        8 525             54611.00            0.096130            0.541318           -0.4217223     
        8 526             54612.00            0.100025            0.541301           -0.4222954     
        8 527             54613.00            0.103806            0.541473           -0.4230725     
        8 528             54614.00            0.107542            0.541456           -0.4240241     
        8 529             54615.00            0.111250            0.541170           -0.4251313     
        8 530             54616.00            0.114477            0.540627           -0.4263523     
        8 531             54617.00            0.117340            0.540103           -0.4275960     
        8 6 1             54618.00            0.119971            0.539744           -0.4287298     
        8 6 2             54619.00            0.122643            0.539231           -0.4296748     
        8 6 3             54620.00            0.125650            0.538494           -0.4303338     
        8 6 4             54621.00            0.129064            0.537382           -0.4307688     
        8 6 5             54622.00            0.132817            0.536107           -0.4310920     
        8 6 6             54623.00            0.136452            0.534970           -0.4314417     
        8 6 7             54624.00            0.139909            0.533772           -0.4319038     
        8 6 8             54625.00            0.143254            0.532758           -0.4325306     
        8 6 9             54626.00            0.146616            0.531668           -0.4333168     
        8 610             54627.00            0.150086            0.530695           -0.4342597     
        8 611             54628.00            0.153774            0.529181           -0.4352681     
